"agent_id","version","role","owner_surface","responsibility","processes","primary_matrices","work_papers","capability_status","live_gate","postcheck"
"cdf.project_manager_delegador","2026.06.01","CDF Project Manager / Delegador CDF","repo CDF local and GitHub PR","Act as the first filter for CDF work: confirm scope, gate, boundary, sources, assigned agent and reviewer chain before routing.","intake_triage;gate_scope;agent_assignment;reviewer_chain;closure_order","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.project_manager_delegador/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","REPO_ONLY_LOCAL_DOCUMENTAL","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.prompt_router","2026.06.01","Prompt Router CDF","repo CDF local and GitHub PR","Route approved CDF intake to the right CDF agent using the local manifest, routing policy and boundary matrices.","routing_decision;agent_match;supporting_agent_selection;blocked_surface_detection","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.prompt_router/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","REPO_ONLY_LOCAL_DOCUMENTAL","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.connection_control_guard","2026.06.01","CDF Connection Control Guard","OpenAI/RAG","Inventory and gate Microsoft, OpenAI, GitHub, MCP, PAC, PnP and connector surfaces before any live connection or credentialed action.","connection_inventory;auth_boundary;connector_risk;gate_route","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.connection_control_guard/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.local_cabina_extension_guard","2026.06.01","CDF Local Cabina Extension Guard","Microsoft connectors/Power Platform/Dataverse","Govern VS Code Insiders cabinas, workspace folders, extensions, MCP config and local tool surfaces without installing or activating live runtime.","cabina_inventory;extension_risk;mcp_boundary;local_tool_surface","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.local_cabina_extension_guard/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","REPO_ONLY_LOCAL_DOCUMENTAL","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.solution_architect","2026.06.01","CDF Solution Architect","repo CDF local and GitHub PR","Turn a synthetic or publishable requirement into a minimal architecture brief.","architecture_brief;decision_matrix;handoff","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.solution_architect/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","REPO_ONLY_LOCAL_DOCUMENTAL","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.microsoft_graph_guard","2026.06.01","Microsoft Graph Guard","Graph/Entra","Classify Graph, identity, files and permission boundaries before any live probe.","permission_boundary;graph_contract;readonly_probe_scope","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.microsoft_graph_guard/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_information_architect","2026.06.01","SharePoint Information Architect","SharePoint SGSD-TC and Modo ON agent placement","Design SharePoint libraries, metadata, content types and views with synthetic evidence.","information_architecture;metadata_map;view_plan","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_information_architect/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_site_discovery_agent","2026.06.01","SharePoint Site Discovery Agent","SharePoint SGSD-TC and Modo ON agent placement","Validate SharePoint site, libraries, folders and source-of-truth locations before any change.","site_context;library_inventory;folder_resolution;read_only_probe_scope","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_site_discovery_agent/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_shared_doc_maintainer","2026.06.01","SharePoint Shared Document Maintainer","SharePoint SGSD-TC and Modo ON agent placement","Prepare safe maintenance plans for shared roadmap, status, strategy and governance documents.","document_status_brief;maintenance_plan;update_diff_plan","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_shared_doc_maintainer/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_word_doc_agent","2026.06.01","SharePoint Word Document Agent","SharePoint SGSD-TC and Modo ON agent placement","Plan and validate Word document edits while preserving structure, headings and style.","word_edit_plan;structure_preservation_check;fidelity_check","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_word_doc_agent/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_spreadsheet_agent","2026.06.01","SharePoint Spreadsheet Agent","SharePoint SGSD-TC and Modo ON agent placement","Plan and validate SharePoint-hosted workbook analysis and edits while preserving formulas and sheets.","workbook_schema_brief;formula_risk_check;sheet_update_plan","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_spreadsheet_agent/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_formula_agent","2026.06.01","SharePoint Formula Agent","SharePoint SGSD-TC and Modo ON agent placement","Design formula repairs and rollout plans for SharePoint-hosted workbooks.","formula_design;formula_test_matrix;rollout_plan","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_formula_agent/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_powerpoint_agent","2026.06.01","SharePoint PowerPoint Agent","SharePoint SGSD-TC and Modo ON agent placement","Plan and validate PowerPoint deck updates while preserving visual template fidelity.","deck_update_plan;slide_fidelity_check;presentation_handoff","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_powerpoint_agent/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.sharepoint_sgsd_site_improvement_agent","2026.06.01","SharePoint SGSD Site Improvement Agent","SharePoint SGSD-TC and Modo ON agent placement","Prepare improvements for the Soporte y Gobierno del Sistema Declarativo - Torre de Control site.","sgsd_site_improvement_backlog;navigation_improvement_plan;page_library_list_plan","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.sharepoint_sgsd_site_improvement_agent/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.collaboration_operator","2026.06.01","Collaboration Operator","Teams/Planner/Outlook","Design Teams, Outlook and Planner operating loops without live sends or mutations.","operating_loop;task_flow;communication_boundary","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.collaboration_operator/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.rag_search_architect","2026.06.01","RAG Search Architect","OpenAI/RAG","Design Azure AI Search and retrieval architecture with synthetic corpora only.","rag_architecture;index_schema_draft;corpus_boundary","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.rag_search_architect/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","MICROSOFT_LIVE_REQUIRES_EXPLICIT_AUTHORIZATION","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.adoption_coach","2026.06.01","Adoption Coach","repo CDF local and GitHub PR","Prepare role-based adoption, training and rollout handoffs.","adoption_plan;role_handoff;training_outline","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.adoption_coach/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","REPO_ONLY_LOCAL_DOCUMENTAL","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
"cdf.evidence_validator","2026.06.01","Evidence Validator","SharePoint SGSD-TC and Modo ON agent placement","Check gate boundaries, validation evidence and closure wording.","closure_readback;gate_boundary;validation_summary","04_AGENTS_SDK/teams/cdf_agent_team_manifest.json|03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_TOPIC_DERIVATION_MATRIX.csv|03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv","03_OPERACION/AGENT_VERSIONING/workpapers/cdf.evidence_validator/README.md","LOCAL_DOCUMENTAL_ACTIVE_GATED_LIVE_AUTH_REQUIRED","REPO_ONLY_LOCAL_DOCUMENTAL","05_VALIDACION/validate_cdf_agent_versioning_repo_only.py"
