"skill","tipo","receta","comando_candidato","task_candidata","agente_dueno","capability","evidencia_minima","gate_requerido","estado","siguiente_accion"
"ide-workspace-governance","core","recipe-open-cabina-in-governed-ide","tools\ceo-ide-workspace-status.ps1 -Json","CEO IDE: Workspace Control","THOT_IDE_CONTROL","Governed IDE Workspace","operativa\tasks\20260623\READBACK_IDE_WORKSPACE_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_workspace_status"
"ide-terminal-runtime-control","core","recipe-repair-ide-terminal-runtime","tools\ceo-ide-terminal-status.ps1 -Json","CEO IDE: Terminal Status","THOT_IDE_CONTROL","Governed IDE Terminal","operativa\tasks\20260623\READBACK_IDE_TERMINAL_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_terminal_status"
"ide-command-surface-management","core","recipe-build-ide-command-surface","tools\ceo-ide-command-index.ps1 -Json","CEO Command: Index","THOT_COMMAND_FACTORY","IDE Command Surface","operativa\tasks\20260623\READBACK_IDE_COMMAND_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_command_index"
"ide-task-runner-governance","core","recipe-promote-script-to-vscode-task","tools\ceo-ide-tasks-status.ps1 -Json","CEO IDE: Tasks Status","RUN_SUPPORT_IDE","Task Runner Governance","operativa\tasks\20260623\READBACK_IDE_TASK_RUNNER_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_tasks_status"
"ide-extension-policy","core","recipe-classify-vscode-insiders-extensions","tools\ceo-ide-extension-policy.ps1 -Json","CEO IDE: Extension Policy","HORUS_IDE_SIGNAL","IDE Extension Governance","operativa\tasks\20260623\READBACK_IDE_EXTENSION_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_extension_policy"
"ide-agent-mcp-routing","core","recipe-map-agent-tools-in-ide","tools\ceo-ide-agent-map.ps1 -Json","CEO IDE: Agent MCP Hub","ANUBIS_IDE_GATE","IDE Agent Tool Hub","operativa\tasks\20260623\READBACK_IDE_AGENT_MCP_CONTROL_20260623.md","mcp_execution_gate","READY_FROM_EXISTING","run_agent_map"
"ide-evidence-capture","core","recipe-capture-ide-operation-evidence","tools\ceo-ide-evidence-status.ps1 -Json","CEO IDE: Evidence Status","SESHAT_IDE_EVIDENCE","IDE Evidence Capture","operativa\tasks\20260623\READBACK_IDE_EVIDENCE_TELEMETRY_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_evidence_status"
"ide-telemetry-readback","core","recipe-capture-ide-operation-evidence","tools\ceo-ide-telemetry-status.ps1 -Json","CEO IDE: Telemetry Status","HORUS_IDE_SIGNAL","IDE Telemetry Readback","operativa\tasks\20260623\READBACK_IDE_EVIDENCE_TELEMETRY_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_telemetry_status"
"ide-git-guard","core","recipe-ide-remote-readiness-without-push","tools\ceo-remote-ready.ps1 -Json","CEO: Remote Ready","ANUBIS_IDE_GATE","Governed Remote Readiness","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","remote_publication_gate","CANDIDATE_MISSING_COMMAND","defer_to_remote_ready_delta"
"ide-profile-standardisation","core","recipe-open-cabina-in-governed-ide","tools\ceo-vscode-insiders-status.ps1 -Json","CEO VS Code Insiders: Status","MAAT_IDE_COMPLIANCE","IDE Profile Standard","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","workspace_only_gate","READY_FROM_EXISTING","run_vscode_status"
"detect-ide-drift","automation","recipe-ide-drift-detection","tools\ceo-ide-workspace-reconcile.ps1 -Json","CEO IDE: Workspace Reconcile","HORUS_IDE_SIGNAL","IDE Drift Detection","operativa\tasks\20260623\READBACK_IDE_WORKSPACE_IDENTITY_RECONCILIATION_20260623.md","none_readonly","READY_FROM_EXISTING","run_workspace_reconcile"
"repair-ide-terminal-runtime","automation","recipe-repair-ide-terminal-runtime","tools\ceo-ide-terminal-enter.ps1","CEO IDE: Enter Terminal Runtime","RUN_SUPPORT_IDE","IDE Terminal Repair","operativa\tasks\20260623\READBACK_IDE_TERMINAL_CONTROL_20260623.md","local_config_gate","READY_FROM_EXISTING","run_terminal_enter_if_needed"
"promote-script-to-ide-task","automation","recipe-promote-script-to-vscode-task","ceo-ide-task-promote","NO_TASK_CREATED","RUN_SUPPORT_IDE","Task Promotion","operativa\tasks\20260623\READBACK_IDE_TASK_RUNNER_CONTROL_20260623.md","owner_gate_for_new_task","CANDIDATE_ONLY","promote_only_existing_repeated_scripts"
"classify-ide-extensions","automation","recipe-classify-vscode-insiders-extensions","tools\ceo-ide-extension-list.ps1 -Json","CEO IDE: Extension List","HORUS_IDE_SIGNAL","Extension Classification","operativa\tasks\20260623\READBACK_IDE_EXTENSION_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_extension_list"
"map-ide-command-surface","automation","recipe-build-ide-command-surface","tools\ceo-ide-command-test.ps1 -Json","CEO Command: Test","THOT_COMMAND_FACTORY","Command Surface Test","operativa\tasks\20260623\READBACK_IDE_COMMAND_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_command_test"
"capture-ide-operation-evidence","automation","recipe-capture-ide-operation-evidence","tools\ceo-ide-evidence-status.ps1 -Json","CEO IDE: Evidence Status","SESHAT_IDE_EVIDENCE","Operation Evidence Capture","operativa\tasks\20260623\READBACK_IDE_EVIDENCE_TELEMETRY_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_evidence_status"
"route-agent-work-from-ide","automation","recipe-map-agent-tools-in-ide","tools\ceo-ide-agent-map.ps1 -Json","CEO IDE: Agent Map","ANUBIS_IDE_GATE","Agent Dispatch Readiness","operativa\tasks\20260623\READBACK_IDE_AGENT_MCP_CONTROL_20260623.md","agent_execution_gate","READY_MAP_ONLY","prepare_agent_dispatch_delta"
"prepare-ide-remote-gate","automation","recipe-ide-remote-readiness-without-push","tools\ceo-remote-ready.ps1 -Json","CEO: Remote Ready","ANUBIS_IDE_GATE","Remote Gate Preparation","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","remote_publication_gate","CANDIDATE_MISSING_COMMAND","build_remote_ready_command_if_ordered"
"ide-no-bypass-gate","governance","recipe-ide-remote-readiness-without-push","NO_DIRECT_COMMAND","NO_TASK_CREATED","ANUBIS_IDE_GATE","No Bypass Gate","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","governance_gate","POLICY_READY","enforce_in_remote_ready_delta"
"ide-secret-exposure-check","governance","recipe-ide-remote-readiness-without-push","NO_DIRECT_COMMAND","NO_TASK_CREATED","ANUBIS_IDE_GATE","Secret Exposure Guard","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","secret_boundary_gate","POLICY_READY","wire_into_remote_ready_delta"
"ide-repo-boundary-control","governance","recipe-open-cabina-in-governed-ide","tools\ceo-ide-workspace-status.ps1 -Json","CEO IDE: Workspace Control","MAAT_IDE_COMPLIANCE","Repo Boundary Control","operativa\tasks\20260623\READBACK_IDE_WORKSPACE_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_workspace_status"
"ide-evidence-minimum-standard","governance","recipe-capture-ide-operation-evidence","tools\ceo-ide-evidence-status.ps1 -Json","CEO IDE: Evidence Status","SESHAT_IDE_EVIDENCE","Evidence Minimum Standard","operativa\tasks\20260623\READBACK_IDE_EVIDENCE_TELEMETRY_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_evidence_status"
"ide-runbook-alignment","governance","recipe-promote-script-to-vscode-task","tools\ceo-ide-tasks-status.ps1 -Json","CEO IDE: Tasks Status","MAAT_IDE_COMPLIANCE","Runbook Alignment","operativa\tasks\20260623\READBACK_IDE_TASK_RUNNER_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","link_repeated_task_to_runbook"
"ide-capability-promotion","governance","recipe-promote-ide-pattern-to-capability","ceo-ide-promote-pattern","NO_TASK_CREATED","NARRADOR_IDE","Capability Factory","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","owner_gate_for_capability_promotion","CANDIDATE_ONLY","promote_after_repeated_use"
